transaction_id,customer_id,merchant_id,amount,timestamp,merchant_category,agent_type,label,anomaly_type
txn_000001,cust_0059,merch_0014,200.65,2026-01-01 07:00:17,travel,procurement_agent,0,none
txn_000002,cust_0019,merch_0026,602.27,2026-01-01 07:03:11,utilities,procurement_agent,0,none
txn_000003,cust_0086,merch_0016,3105.94,2026-01-01 07:13:51,travel,procurement_agent,0,none
txn_000004,cust_0008,merch_0023,2563.78,2026-01-01 07:22:30,gaming,automated_scheduler,0,none
txn_000005,cust_0086,merch_0020,2514.24,2026-01-01 07:24:12,gaming,customer_service_bot,0,none
txn_000006,cust_0138,merch_0027,1171.76,2026-01-01 07:29:43,utilities,customer_service_bot,0,none
txn_000007,cust_0059,merch_0025,246.4,2026-01-01 07:31:27,utilities,procurement_agent,0,none
txn_000008,cust_0018,merch_0020,21183.17,2026-01-01 07:33:08,gaming,automated_scheduler,0,none
txn_000009,cust_0102,merch_0035,1931.91,2026-01-01 07:37:14,food_delivery,code_assistant,0,none
txn_000010,cust_0017,merch_0030,1749.75,2026-01-01 07:43:22,utilities,procurement_agent,0,none
txn_000011,cust_0044,merch_0029,25280.16,2026-01-01 07:53:01,utilities,browser_subagent,0,none
txn_000012,cust_0115,merch_0028,2057.83,2026-01-01 07:55:41,utilities,automated_scheduler,0,none
txn_000013,cust_0039,merch_0008,30066.51,2026-01-01 08:00:02,saas,procurement_agent,0,none
txn_000014,cust_0082,merch_0032,1339.36,2026-01-01 08:06:16,food_delivery,automated_scheduler,0,none
txn_000015,cust_0102,merch_0032,1421.06,2026-01-01 08:08:29,food_delivery,code_assistant,0,none
txn_000016,cust_0115,merch_0009,2313.6,2026-01-01 08:11:48,saas,browser_subagent,0,none
txn_000017,cust_0077,merch_0002,556.94,2026-01-01 08:20:21,ecommerce,personal_assistant,0,none
txn_000018,cust_0120,merch_0018,5205.91,2026-01-01 08:22:17,travel,personal_assistant,0,none
txn_000019,cust_0149,merch_0008,7547.56,2026-01-01 08:22:49,saas,personal_assistant,0,none
txn_000020,cust_0030,merch_0021,1729.34,2026-01-01 08:26:04,gaming,customer_service_bot,0,none
txn_000021,cust_0038,merch_0033,320.25,2026-01-01 08:26:10,food_delivery,automated_scheduler,0,none
txn_000022,cust_0008,merch_0020,543.22,2026-01-01 08:26:16,gaming,automated_scheduler,0,none
txn_000023,cust_0111,merch_0009,1355.21,2026-01-01 08:36:14,saas,code_assistant,0,none
txn_000024,cust_0076,merch_0021,14990.78,2026-01-01 08:37:57,gaming,customer_service_bot,0,none
txn_000025,cust_0145,merch_0008,1185.21,2026-01-01 08:41:11,saas,code_assistant,0,none
txn_000026,cust_0006,merch_0028,924.22,2026-01-01 08:45:58,utilities,personal_assistant,0,none
txn_000027,cust_0060,merch_0031,1677.17,2026-01-01 08:51:02,food_delivery,procurement_agent,0,none
txn_000028,cust_0137,merch_0033,14625.36,2026-01-01 08:55:35,food_delivery,browser_subagent,0,none
txn_000029,cust_0110,merch_0016,1890.4,2026-01-01 08:55:53,travel,automated_scheduler,0,none
txn_000030,cust_0142,merch_0029,2824.56,2026-01-01 08:57:14,utilities,procurement_agent,0,none
txn_000031,cust_0030,merch_0011,777.6,2026-01-01 09:02:35,saas,customer_service_bot,0,none
txn_000032,cust_0043,merch_0012,1710.32,2026-01-01 09:06:05,saas,personal_assistant,0,none
txn_000033,cust_0039,merch_0009,25509.29,2026-01-01 09:08:53,saas,procurement_agent,0,none
txn_000034,cust_0141,merch_0034,671.2,2026-01-01 09:09:17,food_delivery,personal_assistant,0,none
txn_000035,cust_0024,merch_0006,2104.17,2026-01-01 09:09:22,ecommerce,customer_service_bot,0,none
txn_000036,cust_0086,merch_0020,3306.82,2026-01-01 09:13:48,gaming,procurement_agent,0,none
txn_000037,cust_0054,merch_0031,1995.19,2026-01-01 09:20:10,food_delivery,personal_assistant,0,none
txn_000038,cust_0039,merch_0027,6004.49,2026-01-01 09:24:43,utilities,procurement_agent,0,none
txn_000039,cust_0137,merch_0007,1340.66,2026-01-01 09:25:07,saas,browser_subagent,0,none
